cid,seed,smiles,sdf_file,conformer,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings
145885842,7CHN_LIG,CC(=O)NC1=C(C=C(C=C1)NC2=NC=NC3=C2C=CN3)OC,data/phase2/raw/phase2_7CHN_LIG_145885842.sdf,3d,297.32,2.67,3,5,91.93,4,22,3,3
155109155,7CHN_LIG,CNC1=NC(=NC2=C1C(=CN2)C(F)(F)F)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155109155.sdf,3d,420.4,3.9,3,6,95.17,5,30,4,3
155109167,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=C3)NC5CCCCC5)C(=CN4)C(F)(F)F,data/phase2/raw/phase2_7CHN_LIG_155109167.sdf,3d,487.53,6.21,3,5,82.28,6,35,5,3
155109177,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C(F)(F)F)C(=N3)NC5CCCC5,data/phase2/raw/phase2_7CHN_LIG_155109177.sdf,3d,474.49,5.21,3,6,95.17,6,34,5,3
59442199,7CHN_LIG,CN1CCN(C(=O)CCCOC2=C(C=CC(=C2)NC3=NC=NC4=C3C(=CN4)C1)N5CCOCC5)C,data/phase2/raw/phase2_7CHN_LIG_59442199.sdf,3d,479.59,2.6,2,8,98.85,1,35,5,3
59442256,7CHN_LIG,CN1CCN(C(=O)CCCCOC2=C(C=CC(=C2)NC3=NC=NC4=C3C(=CN4)C1)N5CCOCC5)C,data/phase2/raw/phase2_7CHN_LIG_59442256.sdf,3d,493.61,2.99,2,8,98.85,1,36,5,3
59442282,7CHN_LIG,CN1CCCN(C(=O)COC2=C(C=CC(=C2)NC3=NC=NC4=C3C(=CN4)C1)N5CCOCC5)C,data/phase2/raw/phase2_7CHN_LIG_59442282.sdf,3d,465.56,2.21,2,8,98.85,1,34,5,3
59442320,7CHN_LIG,CN1CCN(CC1)C2=C3C=C(C=C2)NC4=NC=NC5=C4C(=CN5)CN(CCN(C(=O)CCCO3)C)C,data/phase2/raw/phase2_7CHN_LIG_59442320.sdf,3d,492.63,2.52,2,8,92.86,1,36,5,3
59442331,7CHN_LIG,CC(C)NC(=O)NC1=C2C=C(C=C1)NC3=NC=NC4=C3C(=CN4)CN(CCCN(C(=O)CO2)C)C,data/phase2/raw/phase2_7CHN_LIG_59442331.sdf,3d,480.57,2.9,4,7,127.51,2,35,4,3
59442343,7CHN_LIG,CN1CCCN(C(=O)CCCOC2=C(C=CC(=C2)NC3=NC=NC4=C3C(=CN4)C1)N5CCOCC5)C,data/phase2/raw/phase2_7CHN_LIG_59442343.sdf,3d,493.61,2.99,2,8,98.85,1,36,5,3
59442381,7CHN_LIG,CN1CCCN(C(=O)COC2=C(C=CC(=C2)NC3=NC=NC4=C3C(=CN4)C1)N5CCCC5)C,data/phase2/raw/phase2_7CHN_LIG_59442381.sdf,3d,449.56,2.97,2,7,89.62,1,33,5,3
155109134,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5COC5,data/phase2/raw/phase2_7CHN_LIG_155109134.sdf,3d,419.45,2.52,3,8,128.19,6,31,5,3
155109139,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=C3)NC5CCCC5)C(=CN4)C#N,data/phase2/raw/phase2_7CHN_LIG_155109139.sdf,3d,430.51,4.67,3,6,106.07,6,32,5,3
155109143,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C=CN4)C(=N3)NC5CCCC5,data/phase2/raw/phase2_7CHN_LIG_155109143.sdf,3d,406.49,4.19,3,6,95.17,6,30,5,3
155109147,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=C3)NC5CCCCC5)C(=CN4)C#N,data/phase2/raw/phase2_7CHN_LIG_155109147.sdf,3d,444.54,5.06,3,6,106.07,6,33,5,3
155118894,7CHN_LIG,CC1=NC=CN1C2=CC(=C(C=C2)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCOCC5)OC,data/phase2/raw/phase2_7CHN_LIG_155118894.sdf,3d,444.5,3.67,3,9,125.7,6,33,5,4
155118908,7CHN_LIG,CC(C)(C)CNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N)OC,data/phase2/raw/phase2_7CHN_LIG_155118908.sdf,3d,365.44,3.62,4,7,124.67,5,27,3,3
155118910,7CHN_LIG,C1CCC(CC1)NC2=NC(=NC3=C2C(=CN3)C#N)NC4=C5C(=C(C=C4)N6CCCC6=O)OCCO5,data/phase2/raw/phase2_7CHN_LIG_155118910.sdf,3d,473.54,4.22,3,8,128.19,5,35,6,3
155118918,7CHN_LIG,C1CCCC(CC1)NC2=NC(=NC3=C2C(=CN3)C#N)NC4=C5C(=C(C=C4)N6CCCC6=O)OCCO5,data/phase2/raw/phase2_7CHN_LIG_155118918.sdf,3d,487.56,4.61,3,8,128.19,5,36,6,3
155118926,7CHN_LIG,COC1=C(C=CC(=C1)N2CCOC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCCC5,data/phase2/raw/phase2_7CHN_LIG_155118926.sdf,3d,447.5,4.28,3,8,128.19,6,33,5,3
155118967,7CHN_LIG,COC1=C(C=CC(=C1)N)NC2=NC3=C(C(=C2)NC4CCCC4)C(=CN3)C#N,data/phase2/raw/phase2_7CHN_LIG_155118967.sdf,3d,362.44,4.12,4,6,111.78,5,27,4,3
155118969,7CHN_LIG,COC1=C(C=CC(=C1)N)NC2=NC3=C(C(=CN3)C#N)C(=N2)NC4COC4,data/phase2/raw/phase2_7CHN_LIG_155118969.sdf,3d,351.37,1.97,4,8,133.9,5,26,4,3
155118972,7CHN_LIG,CC(C)(COC)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N)OC,data/phase2/raw/phase2_7CHN_LIG_155118972.sdf,3d,381.44,3.0,4,8,133.9,7,28,3,3
155118997,7CHN_LIG,CC1(CCC(CC1)OC2=NC(=NC3=C2C(=CN3)C#N)NC4=C(C=C(C=C4)N5CCCC5=O)OC)O,data/phase2/raw/phase2_7CHN_LIG_155118997.sdf,3d,476.54,3.78,3,8,136.39,6,35,5,3
155119000,7CHN_LIG,CC1=CN(C(=N1)C)C2=CC(=C(C=C2)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCCC5)OC,data/phase2/raw/phase2_7CHN_LIG_155119000.sdf,3d,456.55,5.13,3,8,116.47,6,34,5,4
155119010,7CHN_LIG,CC1=NC=CN1C2=CC(=C(C=C2)NC3=NC4=C(C(=CN4)C#N)C(=N3)NCCOC)OC,data/phase2/raw/phase2_7CHN_LIG_155119010.sdf,3d,418.46,3.13,3,9,125.7,8,31,4,4
155119022,7CHN_LIG,CC(C)COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCC5,data/phase2/raw/phase2_7CHN_LIG_155119022.sdf,3d,473.58,5.09,3,7,118.96,8,35,5,3
155119023,7CHN_LIG,CC(C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N)OC,data/phase2/raw/phase2_7CHN_LIG_155119023.sdf,3d,337.39,2.98,4,7,124.67,5,25,3,3
155119024,7CHN_LIG,CC(C)CNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N)OC,data/phase2/raw/phase2_7CHN_LIG_155119024.sdf,3d,351.41,3.23,4,7,124.67,6,26,3,3
155119025,7CHN_LIG,CC[C@H](C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4O)OC,data/phase2/raw/phase2_7CHN_LIG_155119025.sdf,3d,421.51,3.71,4,8,122.12,7,31,4,3
155691527,7CHN_LIG,CC1=NC=CN1C2=CC(=C(C=C2)NC3=NC4=C(C(=CN4)C#N)C(=N3)N[C@H](C)COC)OC,data/phase2/raw/phase2_7CHN_LIG_155691527.sdf,3d,432.49,3.52,3,9,125.7,8,32,4,4
164091414,7CHN_LIG,CC1=NC=CN1C2=CC(=C(C=C2)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC(C)COC)OC,data/phase2/raw/phase2_7CHN_LIG_164091414.sdf,3d,432.49,3.52,3,9,125.7,8,32,4,4
166866535,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCS2)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCOCC5,data/phase2/raw/phase2_7CHN_LIG_166866535.sdf,3d,451.56,4.03,3,9,111.12,6,32,5,3
166866548,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCS2)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCC5,data/phase2/raw/phase2_7CHN_LIG_166866548.sdf,3d,435.56,4.79,3,8,101.89,6,31,5,3
166866571,7CHN_LIG,CC(C)(COC)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4O)OC,data/phase2/raw/phase2_7CHN_LIG_166866571.sdf,3d,451.53,3.34,4,9,131.35,8,33,4,3
166866572,7CHN_LIG,CC(C)CNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4O)OC,data/phase2/raw/phase2_7CHN_LIG_166866572.sdf,3d,421.51,3.57,4,8,122.12,7,31,4,3
166866573,7CHN_LIG,CCC(NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC)O,data/phase2/raw/phase2_7CHN_LIG_166866573.sdf,3d,421.46,2.85,4,8,139.19,7,31,4,3
166866574,7CHN_LIG,CCCNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_166866574.sdf,3d,405.46,3.53,3,7,118.96,7,30,4,3
166866595,7CHN_LIG,CC(C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4O)OC,data/phase2/raw/phase2_7CHN_LIG_166866595.sdf,3d,407.48,3.32,4,8,122.12,6,30,4,3
168793585,7CHN_LIG,CC[C@@H](C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_168793585.sdf,3d,419.49,3.92,3,7,118.96,7,31,4,3
169729302,7CHN_LIG,CCC(C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_169729302.sdf,3d,419.49,3.92,3,7,118.96,7,31,4,3
112499966,7CHM_LIG,CNC1=NC(=NC2=C1C(=CN2)Cl)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_112499966.sdf,3d,416.87,2.88,3,7,104.4,5,29,4,3
118286391,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCN(CC4)C)OC(F)F,data/phase2/raw/phase2_7CHM_LIG_118286391.sdf,3d,446.46,3.09,2,7,95.61,7,32,4,3
155536065,7CHM_LIG,CN(C)C(=O)C1=CC(=C(C=C1)NC2=NC3=C(C=CN3)C(=N2)OC4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_155536065.sdf,3d,411.46,2.97,2,7,101.6,6,30,4,3
155554448,7CHM_LIG,CC1(C[C@H](CCO1)OC2=NC(=NC3=C2C=CN3)NC4=C(C=C(C=C4)C(=O)N(C)C)OC)C,data/phase2/raw/phase2_7CHM_LIG_155554448.sdf,3d,439.52,3.75,2,7,101.6,6,32,4,3
77846657,7CHM_LIG,CNC(=O)C1=CC(=C(C=C1)NC2=NC3=C(C(=CN3)C4=CC=CC=C4)C(=N2)OC5CCCC5)OC,data/phase2/raw/phase2_7CHM_LIG_77846657.sdf,3d,457.53,5.06,3,6,101.16,7,34,5,4
117884097,7CHM_LIG,CNC(=O)C1=CC(=C(C=C1)NC2=NC3=C(C(=CN3)C4=CC=NC=C4)C(=N2)OC5CCCC5)OC,data/phase2/raw/phase2_7CHM_LIG_117884097.sdf,3d,458.52,4.45,3,7,114.05,7,34,5,4
118286277,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCC5(CC4)CN(C5)C)OC,data/phase2/raw/phase2_7CHM_LIG_118286277.sdf,3d,450.54,3.28,2,7,95.61,6,33,5,3
118286279,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCN5CCC[C@@H]5C4)OC,data/phase2/raw/phase2_7CHM_LIG_118286279.sdf,3d,436.52,3.03,2,7,95.61,6,32,5,3
118286352,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC(C)C,data/phase2/raw/phase2_7CHM_LIG_118286352.sdf,3d,425.49,3.36,2,7,101.6,7,31,4,3
118286384,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOC[C@@H]4C)OC,data/phase2/raw/phase2_7CHM_LIG_118286384.sdf,3d,411.46,2.97,2,7,101.6,6,30,4,3
118286387,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCN(CC4)C)OC(C)C,data/phase2/raw/phase2_7CHM_LIG_118286387.sdf,3d,438.53,3.28,2,7,95.61,7,32,4,3
118286393,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCC(CC4)F)OC,data/phase2/raw/phase2_7CHM_LIG_118286393.sdf,3d,413.45,3.68,2,6,92.37,6,30,4,3
118286428,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_118286428.sdf,3d,397.44,2.58,2,7,101.6,6,29,4,3
118286447,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4C[C@H](O[C@H](C4)C)C)OC,data/phase2/raw/phase2_7CHM_LIG_118286447.sdf,3d,425.49,3.36,2,7,101.6,6,31,4,3
118286449,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)NCC(C)(C)O)OC,data/phase2/raw/phase2_7CHM_LIG_118286449.sdf,3d,399.45,2.61,4,7,121.39,8,29,3,3
118286451,7CHM_LIG,CCOC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC4=C(C=CN4)C(=N3)OCC,data/phase2/raw/phase2_7CHM_LIG_118286451.sdf,3d,411.46,2.97,2,7,101.6,7,30,4,3
118286459,7CHM_LIG,CCOC1=C(C=CC(=C1)C(=O)N2CCN(CC2)C)NC3=NC4=C(C=CN4)C(=N3)OCC,data/phase2/raw/phase2_7CHM_LIG_118286459.sdf,3d,424.51,2.89,2,7,95.61,7,31,4,3
118286467,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCN(CC4)C)OC,data/phase2/raw/phase2_7CHM_LIG_118286467.sdf,3d,410.48,2.5,2,7,95.61,6,30,4,3
126482470,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCN5CCC[C@H]5C4)OC,data/phase2/raw/phase2_7CHM_LIG_126482470.sdf,3d,436.52,3.03,2,7,95.61,6,32,5,3
126482550,7CHM_LIG,CCOC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOC[C@H]4C)OC,data/phase2/raw/phase2_7CHM_LIG_126482550.sdf,3d,411.46,2.97,2,7,101.6,6,30,4,3
155532159,7CHM_LIG,CC(C)OC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N(C)C)OC,data/phase2/raw/phase2_7CHM_LIG_155532159.sdf,3d,369.43,3.2,2,6,92.37,6,27,3,3
155545935,7CHM_LIG,CN(C)C(=O)C1=CC(=C(C=C1)NC2=NC3=C(C=CN3)C(=N2)OC4CCCCC4)OC,data/phase2/raw/phase2_7CHM_LIG_155545935.sdf,3d,409.49,4.12,2,6,92.37,6,30,4,3
155558488,7CHM_LIG,CC1(C[C@H](CCO1)OC2=NC(=NC3=C2C=CN3)NC4=C(C=C(C=C4)C(=O)N5CCOCC5)OC)C,data/phase2/raw/phase2_7CHM_LIG_155558488.sdf,3d,481.55,3.52,2,8,110.83,6,35,5,3
155562324,7CHM_LIG,CN(C)C(=O)C1=CC(=C(C=C1)NC2=NC3=C(C=CN3)C(=N2)OC4CCCC4)OC,data/phase2/raw/phase2_7CHM_LIG_155562324.sdf,3d,395.46,3.73,2,6,92.37,6,29,4,3
122490585,7CHM_LIG,CNC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C(=C3)F)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490585.sdf,3d,400.41,2.36,3,7,104.4,5,29,4,3
142436022,7CHM_LIG,CCNC1=CC(=NC2=C1C(=CN2)C(F)(F)F)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_142436022.sdf,3d,463.46,4.24,3,6,91.51,6,33,4,3
142436036,7CHM_LIG,CNC1=CC(=NC2=C1C(=CN2)C(F)(F)F)NC3=C(C=C(C=C3)C(=O)N4CCN(CC4)C)OC,data/phase2/raw/phase2_7CHM_LIG_142436036.sdf,3d,462.48,3.76,3,6,85.52,5,33,4,3
142436055,7CHM_LIG,CNC1=CC(=NC2=C1C(=CN2)C(F)(F)F)NC3=C(C=C(C(=C3)F)C(=O)N4CCN(CC4)C)OC,data/phase2/raw/phase2_7CHM_LIG_142436055.sdf,3d,480.47,3.9,3,6,85.52,5,34,4,3
142436060,7CHM_LIG,COCCNC1=CC(=NC2=C1C(=CN2)C(F)(F)F)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_142436060.sdf,3d,493.49,3.86,3,7,100.74,8,35,4,3
146290574,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC4=C(C(=C3)NC5CC5)C(=CN4)C(F)(F)F,data/phase2/raw/phase2_7CHM_LIG_146290574.sdf,3d,475.47,4.38,3,6,91.51,6,34,5,3
155564829,7CHM_LIG,CNC(=O)C1=CC=CC=C1NC2=NC(=NC3=C2C=CN3)NC4=C(C=C(C=C4)CNC(=O)C=C)OC,data/phase2/raw/phase2_7CHM_LIG_155564829.sdf,3d,471.52,3.62,5,7,133.06,9,35,4,4
142436020,7CHM_LIG,C[C@@H]1CN(CCN1C(=O)C2=CC(=C(C=C2F)NC3=NC4=C(C(=C3)NC)C(=CN4)C(F)(F)F)OC)C,data/phase2/raw/phase2_7CHM_LIG_142436020.sdf,3d,494.49,4.29,3,6,85.52,5,35,4,3
77846573,7CHM_LIG,CNC(=O)C1=CC(=C(C=C1)NC2=NC3=C(C(=CN3)C4=CC=C(C=C4)O)C(=N2)NC5CCCC5)OC,data/phase2/raw/phase2_7CHM_LIG_77846573.sdf,3d,472.55,4.8,5,7,124.19,7,35,5,4
77847232,7CHM_LIG,CNC(=O)C1=CC(=C(C=C1)NC2=NC3=C(C(=CN3)C4=CN=C(C=C4)OC)C(=N2)OC)OC,data/phase2/raw/phase2_7CHM_LIG_77847232.sdf,3d,434.46,3.15,3,8,123.28,7,32,4,4
122457166,7CHM_LIG,CNC1=NC(=NC2=C1NC=N2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122457166.sdf,3d,383.41,1.62,3,8,117.29,5,28,4,3
122490550,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC=C4C=CNC4=N3,data/phase2/raw/phase2_7CHM_LIG_122490550.sdf,3d,353.38,2.18,2,6,92.37,4,26,4,3
122490551,7CHM_LIG,CCNC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490551.sdf,3d,396.45,2.61,3,7,104.4,6,29,4,3
122490552,7CHM_LIG,CNC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490552.sdf,3d,382.42,2.22,3,7,104.4,5,28,4,3
122490553,7CHM_LIG,COCCNC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490553.sdf,3d,426.48,2.24,3,8,113.63,8,31,4,3
122490554,7CHM_LIG,CCCNC1=NC(=NC2=C1C=CN2)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490554.sdf,3d,410.48,3.0,3,7,104.4,7,30,4,3
122490555,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC4=C(C=CN4)C(=N3)OC,data/phase2/raw/phase2_7CHM_LIG_122490555.sdf,3d,383.41,2.19,2,7,101.6,5,28,4,3
122490572,7CHM_LIG,CCCNC1=NC(=NC2=C1C(=CN2)Cl)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490572.sdf,3d,444.92,3.66,3,7,104.4,7,31,4,3
122490576,7CHM_LIG,CCNC1=NC(=NC2=C1C(=CN2)Cl)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_122490576.sdf,3d,430.9,3.27,3,7,104.4,6,30,4,3
122490578,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC4=C(C=CN4)C(=N3)NCC5CCCO5,data/phase2/raw/phase2_7CHM_LIG_122490578.sdf,3d,452.52,2.77,3,8,113.63,7,33,5,3
122490581,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC=C4C(=CNC4=N3)Cl,data/phase2/raw/phase2_7CHM_LIG_122490581.sdf,3d,387.83,2.84,2,6,92.37,4,27,4,3
122490584,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)N2CCOCC2)NC3=NC4=C(C=CN4)C(=N3)NC5CC5,data/phase2/raw/phase2_7CHM_LIG_122490584.sdf,3d,408.46,2.76,3,7,104.4,6,30,5,3
142436018,7CHM_LIG,CCCNC1=CC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_142436018.sdf,3d,434.5,3.48,3,7,115.3,7,32,4,3
142436084,7CHM_LIG,CCNC1=CC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_142436084.sdf,3d,420.47,3.09,3,7,115.3,6,31,4,3
155548752,7CHM_LIG,CCC(=O)NCC1=CC(=C(C=C1)NC2=NC3=C(C=CN3)C(=N2)NC4=CC=CC=C4C(=O)NC)OC,data/phase2/raw/phase2_7CHM_LIG_155548752.sdf,3d,473.54,3.84,5,7,133.06,9,35,4,4
142435998,7CHM_LIG,C[C@H]1CN(CCO1)C(=O)C2=CC(=C(C=C2)NC3=NC4=C(C(=C3)NC)C(=CN4)C#N)OC,data/phase2/raw/phase2_7CHM_LIG_142435998.sdf,3d,420.47,3.09,3,7,115.3,5,31,4,3
142436000,7CHM_LIG,CCNC1=CC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)C(=O)N4CCO[C@H](C4)C)OC,data/phase2/raw/phase2_7CHM_LIG_142436000.sdf,3d,434.5,3.48,3,7,115.3,6,32,4,3
142436062,7CHM_LIG,CNC1=CC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_142436062.sdf,3d,406.45,2.7,3,7,115.3,5,30,4,3
142436085,7CHM_LIG,COCCNC1=CC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)C(=O)N4CCOCC4)OC,data/phase2/raw/phase2_7CHM_LIG_142436085.sdf,3d,450.5,2.72,3,8,124.53,8,33,4,3
117881492,7CHM_LIG,COC1=C(C=CC(=C1)C(=O)NC2COC2)NC3=NC4=C(C(=CN4)C5=CC(=NC=C5)F)C(=N3)OC,data/phase2/raw/phase2_7CHM_LIG_117881492.sdf,3d,464.46,3.05,3,8,123.28,7,34,5,4
